feature,clean_feature,family,importance,importance_share
calendar_month_name_November,calendar_month_name_November,Context/categorical,0.1334834235354597,0.004661365434666886
roa,roa,Accounting fundamentals,0.1318116773617496,0.004602986501738193
sic2_79,sic2_79,Context/categorical,0.13144601267973793,0.004590217150576363
calendar_month_name_February,calendar_month_name_February,Context/categorical,0.12529028310946475,0.00437525334245673
market_excess_return_1m,market_excess_return_1m,Market behavior,0.12375424022732771,0.0043216132948214695
calendar_quarter_Q2,calendar_quarter_Q2,Context/categorical,0.1228751669161791,0.0042909152363015835
sales_to_market_month_rank,sales_to_market_month_rank,Relative position,0.12031722116078217,0.004201589388850625
crsp_ret_12m,crsp_ret_12m,Market behavior,0.12031561882144003,0.004201533433668878
calendar_month,calendar_month,Context/categorical,0.12029397196760441,0.0042007775053778135
calendar_quarter_Q1,calendar_quarter_Q1,Context/categorical,0.1182454335760615,0.004129240637375702
roa_industry_relative,roa_industry_relative,Relative position,0.11736064023027717,0.004098342829920481
sic_division_Transportation,sic_division_Transportation,Context/categorical,0.11685791649718265,0.004080787249080804
log_market_cap_industry_rank,log_market_cap_industry_rank,Relative position,0.1166018230809742,0.004071844228541309
sic2_61,sic2_61,Context/categorical,0.11484163111918048,0.004010376686341927
gross_margin_industry_relative,gross_margin_industry_relative,Relative position,0.11437198608938189,0.003993976244620528
sic2_82,sic2_82,Context/categorical,0.11400414802847415,0.00398113099704404
calendar_quarter_Q3,calendar_quarter_Q3,Context/categorical,0.11374233580778557,0.003971988270527387
book_to_market,book_to_market,Accounting fundamentals,0.11333971262821366,0.003957928294219141
sic2_51,sic2_51,Context/categorical,0.11023505304553897,0.003849510690880981
sic_division_Retail,sic_division_Retail,Context/categorical,0.108977566288533,0.0038055980824955515
sic2_38,sic2_38,Context/categorical,0.10861826154456694,0.0037930508262919355
sic2_13,sic2_13,Context/categorical,0.10837358860871568,0.0037845066195599845
calendar_month_name_January,calendar_month_name_January,Context/categorical,0.10765136187993517,0.0037592857897343567
momentum_12m,momentum_12m,Market behavior,0.10752862214206385,0.0037549996038063983
calendar_quarter_Q4,calendar_quarter_Q4,Context/categorical,0.10495124596390448,0.0036649952279011427
profit_margin_industry_relative,profit_margin_industry_relative,Relative position,0.10460552677654915,0.0036529223919837214
sic2_75,sic2_75,Context/categorical,0.10378415740975871,0.0036242394089282706
gross_margin_month_rank,gross_margin_month_rank,Relative position,0.10182762663459527,0.003555915532557313
sic2_14,sic2_14,Context/categorical,0.10064767818974665,0.003514710634227408
book_to_market_month_rank,book_to_market_month_rank,Relative position,0.09980060974485835,0.0034851302154366775
feature_pca3,feature_pca3,Composite/unsupervised,0.09855327497762509,0.0034415721239865068
sic2_80,sic2_80,Context/categorical,0.09829915961543796,0.003432698178935178
sic2_55,sic2_55,Context/categorical,0.09822467575852109,0.0034300971333006184
value_momentum_interaction,value_momentum_interaction,Composite/unsupervised,0.09811044526291729,0.0034261080980354944
volatility_12m,volatility_12m,Market behavior,0.09626435160597716,0.0033616407886595664
asset_turnover_month_rank,asset_turnover_month_rank,Relative position,0.0962504429135876,0.003361155084171107
